destination,origin,num
Afghanistan,Pakistan,348369.0
Afghanistan,Tajikistan,15031.0
Afghanistan,Uzbekistan,751.0
Albania,Canada,1004.0
Albania,Greece,34989.0
Albania,Italy,9851.0
Albania,The former Yugoslav Republic of Macedonia,591.0
Albania,Turkey,2172.0
Albania,United States of America,2628.0
Algeria,France,1000.0
Algeria,Germany,1399.0
Algeria,Indonesia,2600.0
Algeria,Iraq,13632.0
Algeria,Italy,1332.0
Algeria,Jordan,4063.0
Algeria,Kuwait,2150.0
Algeria,Lebanon,2203.0
Algeria,Libya,4182.0
Algeria,Malaysia,1577.0
Algeria,Russian Federation,1443.0
Algeria,Saudi Arabia,7062.0
Algeria,Somalia,20810.0
Algeria,State of Palestine,56961.0
Algeria,Sudan,2873.0
Algeria,Syrian Arab Republic,5526.0
Algeria,United Kingdom of Great Britain and Northern Ireland,1440.0
Algeria,United States of America,1968.0
Algeria,Western Sahara,90939.0
Algeria,Yemen,4257.0
American Samoa,China,591.0
American Samoa,Fiji,328.0
American Samoa,New Zealand,716.0
American Samoa,Philippines,1101.0
American Samoa,Republic of Korea,292.0
American Samoa,Samoa,15614.0
American Samoa,Tokelau,21.0
American Samoa,Tonga,1272.0
American Samoa,United States of America,2516.0
American Samoa,Viet Nam,209.0
Andorra,Argentina,640.0
Andorra,Australia,61.0
Andorra,Belgium,202.0
Andorra,Chile,201.0
Andorra,Denmark,105.0
Andorra,France,3764.0
Andorra,Germany,318.0
Andorra,Italy,430.0
Andorra,Morocco,441.0
Andorra,Netherlands,229.0
Andorra,Philippines,399.0
Andorra,Portugal,11012.0
Andorra,Spain,20446.0
Andorra,Sweden,46.0
Andorra,Switzerland,75.0
Andorra,United Kingdom of Great Britain and Northern Ireland,988.0
Andorra,United States of America,99.0
Andorra,Uruguay,96.0
Angola,Cabo Verde,10459.0
Angola,Chad,36.0
Angola,Congo,1203.0
Angola,Cote d'Ivoire,46.0
Angola,Democratic Republic of the Congo,43192.0
Angola,Guinea,382.0
Angola,Mozambique,283.0
Angola,Namibia,1012.0
Angola,Portugal,15528.0
Angola,Rwanda,1216.0
Angola,Sao Tome and Principe,9123.0
Angola,South Africa,7144.0
Angola,Zambia,350.0
Anguilla,Canada,126.0
Anguilla,Dominican Republic,700.0
Anguilla,Guyana,416.0
Anguilla,Jamaica,488.0
Anguilla,Montserrat,302.0
Anguilla,Saint Kitts and Nevis,881.0
Anguilla,United Kingdom of Great Britain and Northern Ireland,431.0
Anguilla,United States of America,545.0
Anguilla,United States Virgin Islands,443.0
Antigua and Barbuda,Anguilla,39.0
Antigua and Barbuda,Aruba,5.0
Antigua and Barbuda,Australia,7.0
Antigua and Barbuda,Bahamas,2.0
Antigua and Barbuda,Barbados,302.0
Antigua and Barbuda,Belize,14.0
Antigua and Barbuda,Bermuda,14.0
Antigua and Barbuda,"Bonaire, Sint Eustatius and Saba",11.0
Antigua and Barbuda,British Virgin Islands,98.0
Antigua and Barbuda,Canada,434.0
Antigua and Barbuda,China,134.0
Antigua and Barbuda,Cuba,20.0
Antigua and Barbuda,Curacao,19.0
Antigua and Barbuda,Dominica,4745.0
Antigua and Barbuda,Dominican Republic,1784.0
Antigua and Barbuda,Egypt,10.0
Antigua and Barbuda,Ethiopia,90.0
Antigua and Barbuda,France,41.0
Antigua and Barbuda,French Guiana,5.0
Antigua and Barbuda,Germany,83.0
Antigua and Barbuda,Ghana,31.0
Antigua and Barbuda,Grenada,192.0
Antigua and Barbuda,Guadeloupe,76.0
Antigua and Barbuda,Guyana,6472.0
Antigua and Barbuda,Haiti,33.0
Antigua and Barbuda,Honduras,7.0
Antigua and Barbuda,India,79.0
Antigua and Barbuda,Italy,72.0
Antigua and Barbuda,Jamaica,3990.0
Antigua and Barbuda,Japan,20.0
Antigua and Barbuda,Lebanon,55.0
Antigua and Barbuda,Martinique,5.0
Antigua and Barbuda,Mexico,5.0
Antigua and Barbuda,Montserrat,1138.0
Antigua and Barbuda,Netherlands,16.0
Antigua and Barbuda,New Zealand,12.0
Antigua and Barbuda,Nigeria,40.0
Antigua and Barbuda,Puerto Rico,53.0
