origin,destination,num,year
Afghanistan,Argentina,7.0,2010
Afghanistan,Australia,13967.0,2010
Afghanistan,Austria,2443.0,2010
Afghanistan,Azerbaijan,57.0,2010
Afghanistan,Bahrain,199.0,2010
Afghanistan,Belarus,85.0,2010
Afghanistan,Belgium,1677.0,2010
Afghanistan,Brazil,20.0,2010
Afghanistan,Bulgaria,59.0,2010
Afghanistan,Canada,20258.0,2010
Afghanistan,Chile,5.0,2010
Afghanistan,Colombia,44.0,2010
Afghanistan,Costa Rica,3.0,2010
Afghanistan,Cyprus,3.0,2010
Afghanistan,Czechia,121.0,2010
Afghanistan,Denmark,4687.0,2010
Afghanistan,Ecuador,14.0,2010
Afghanistan,Egypt,46.0,2010
Afghanistan,Estonia,3.0,2010
Afghanistan,Finland,1485.0,2010
Afghanistan,France,2025.0,2010
Afghanistan,Georgia,18.0,2010
Afghanistan,Germany,35403.0,2010
Afghanistan,Greece,1318.0,2010
Afghanistan,Hungary,295.0,2010
Afghanistan,India,4538.0,2010
Afghanistan,Iran (Islamic Republic of),1036719.0,2010
Afghanistan,Iraq,158.0,2010
Afghanistan,Ireland,28.0,2010
Afghanistan,Israel,1284.0,2010
Afghanistan,Italy,341.0,2010
Afghanistan,Jordan,47.0,2010
Afghanistan,Kuwait,607.0,2010
Afghanistan,Latvia,1.0,2010
Afghanistan,Libya,78.0,2010
Afghanistan,Lithuania,2.0,2010
Afghanistan,Malaysia,222.0,2010
Afghanistan,Mali,86.0,2010
Afghanistan,Namibia,25.0,2010
Afghanistan,Netherlands,14358.0,2010
Afghanistan,New Zealand,1192.0,2010
Afghanistan,Nicaragua,26.0,2010
Afghanistan,Norway,3447.0,2010
Afghanistan,Pakistan,972655.0,2010
Afghanistan,Philippines,632.0,2010
Afghanistan,Poland,15.0,2010
Afghanistan,Qatar,269.0,2010
Afghanistan,Russian Federation,1167.0,2010
Afghanistan,Saudi Arabia,83043.0,2010
Afghanistan,Slovakia,20.0,2010
Afghanistan,South Africa,34.0,2010
Afghanistan,Spain,95.0,2010
Afghanistan,Sri Lanka,61.0,2010
Afghanistan,Sweden,6020.0,2010
Afghanistan,Switzerland,1430.0,2010
Afghanistan,Syrian Arab Republic,1280.0,2010
Afghanistan,Tajikistan,6903.0,2010
Afghanistan,Turkey,4900.0,2010
Afghanistan,Turkmenistan,189.0,2010
Afghanistan,Ukraine,583.0,2010
Afghanistan,United Arab Emirates,2060.0,2010
Afghanistan,United Kingdom,14167.0,2010
Afghanistan,United States of America,28829.0,2010
Albania,Argentina,27.0,2010
Albania,Australia,1404.0,2010
Albania,Austria,1368.0,2010
Albania,Belgium,3020.0,2010
Albania,Bolivia (Plurinational State of),1.0,2010
Albania,Bulgaria,500.0,2010
Albania,Canada,6654.0,2010
Albania,Chile,27.0,2010
Albania,Colombia,23.0,2010
Albania,Croatia,96.0,2010
Albania,Cuba,23.0,2010
Albania,Cyprus,129.0,2010
Albania,Czechia,82.0,2010
Albania,Denmark,139.0,2010
Albania,Ecuador,23.0,2010
Albania,Egypt,44.0,2010
Albania,Finland,36.0,2010
Albania,France,3002.0,2010
Albania,Georgia,6.0,2010
Albania,Germany,6990.0,2010
Albania,Greece,218420.0,2010
Albania,Hungary,94.0,2010
Albania,Iceland,21.0,2010
Albania,Ireland,120.0,2010
Albania,Italy,209209.0,2010
Albania,Latvia,2.0,2010
Albania,Libya,82.0,2010
Albania,Luxembourg,82.0,2010
Albania,Mali,572.0,2010
Albania,Malta,34.0,2010
Albania,Montenegro,1186.0,2010
Albania,Netherlands,411.0,2010
Albania,North Macedonia,41980.0,2010
Albania,Norway,210.0,2010
Albania,Philippines,59.0,2010
Albania,Poland,20.0,2010
Albania,Portugal,20.0,2010
Albania,Romania,411.0,2010
Albania,Russian Federation,94.0,2010
Albania,San Marino,23.0,2010
Albania,Serbia,390.0,2010
Albania,Slovakia,11.0,2010
Albania,Slovenia,48.0,2010
Albania,South Africa,81.0,2010
Albania,Spain,763.0,2010
Albania,Sweden,542.0,2010
Albania,Switzerland,967.0,2010
Albania,Turkey,1690.0,2010
Albania,United Kingdom,2782.0,2010
Albania,United States of America,33592.0,2010
Albania,Venezuela (Bolivarian Republic of),9.0,2010
Algeria,Argentina,40.0,2010
Algeria,Australia,533.0,2010
Algeria,Austria,267.0,2010
Algeria,Belarus,9.0,2010
Algeria,Belgium,9839.0,2010
Algeria,Bolivia (Plurinational State of),1.0,2010
Algeria,Brazil,90.0,2010
Algeria,Bulgaria,166.0,2010
Algeria,Canada,23637.0,2010
Algeria,Chile,35.0,2010
Algeria,Colombia,8.0,2010
Algeria,Costa Rica,7.0,2010
Algeria,Croatia,29.0,2010
Algeria,Cuba,10.0,2010
Algeria,Cyprus,19.0,2010
Algeria,Czechia,57.0,2010
Algeria,Denmark,342.0,2010
Algeria,Ecuador,8.0,2010
Algeria,Egypt,549.0,2010
Algeria,Estonia,3.0,2010
Algeria,Finland,175.0,2010
Algeria,France,615840.0,2010
Algeria,French Guiana,44.0,2010
