origin,destination,num,year
Afghanistan,Argentina,9.0,2019
Afghanistan,Australia,59798.0,2019
Afghanistan,Austria,20561.0,2019
Afghanistan,Azerbaijan,178.0,2019
Afghanistan,Bahrain,690.0,2019
Afghanistan,Belarus,278.0,2019
Afghanistan,Belgium,23386.0,2019
Afghanistan,Bolivia (Plurinational State of),1.0,2019
Afghanistan,Brazil,77.0,2019
Afghanistan,Bulgaria,396.0,2019
Afghanistan,Canada,55339.0,2019
Afghanistan,Chile,60.0,2019
Afghanistan,Colombia,122.0,2019
Afghanistan,Costa Rica,4.0,2019
Afghanistan,Cyprus,7.0,2019
Afghanistan,Czechia,516.0,2019
Afghanistan,Denmark,14168.0,2019
Afghanistan,Ecuador,157.0,2019
Afghanistan,Egypt,208.0,2019
Afghanistan,Estonia,42.0,2019
Afghanistan,Finland,7706.0,2019
Afghanistan,France,6887.0,2019
Afghanistan,Georgia,41.0,2019
Afghanistan,Germany,208732.0,2019
Afghanistan,Greece,11673.0,2019
Afghanistan,Guinea,2.0,2019
Afghanistan,Hungary,1452.0,2019
Afghanistan,Iceland,34.0,2019
Afghanistan,India,13501.0,2019
Afghanistan,Iran (Islamic Republic of),2310292.0,2019
Afghanistan,Iraq,319.0,2019
Afghanistan,Ireland,162.0,2019
Afghanistan,Israel,2469.0,2019
Afghanistan,Italy,11896.0,2019
Afghanistan,Jordan,64.0,2019
Afghanistan,Kuwait,2826.0,2019
Afghanistan,Latvia,25.0,2019
Afghanistan,Libya,339.0,2019
Afghanistan,Lithuania,7.0,2019
Afghanistan,Malaysia,569.0,2019
Afghanistan,Mali,534.0,2019
Afghanistan,Namibia,44.0,2019
Afghanistan,Netherlands,37216.0,2019
Afghanistan,New Zealand,2610.0,2019
Afghanistan,Nicaragua,63.0,2019
Afghanistan,Norway,17347.0,2019
Afghanistan,Pakistan,1589146.0,2019
Afghanistan,Philippines,1258.0,2019
Afghanistan,Poland,149.0,2019
Afghanistan,Qatar,1602.0,2019
Afghanistan,Russian Federation,5093.0,2019
Afghanistan,Saudi Arabia,469324.0,2019
Afghanistan,Slovakia,252.0,2019
Afghanistan,Slovenia,40.0,2019
Afghanistan,South Africa,162.0,2019
Afghanistan,Spain,474.0,2019
Afghanistan,Sri Lanka,132.0,2019
Afghanistan,Sweden,45413.0,2019
Afghanistan,Switzerland,14952.0,2019
Afghanistan,Syrian Arab Republic,1018.0,2019
Afghanistan,Tajikistan,12346.0,2019
Afghanistan,Thailand,1.0,2019
Afghanistan,Turkey,18390.0,2019
Afghanistan,Turkmenistan,216.0,2019
Afghanistan,Ukraine,4860.0,2019
Afghanistan,United Arab Emirates,8071.0,2019
Afghanistan,United Kingdom,55227.0,2019
Afghanistan,United States of America,80026.0,2019
Albania,Argentina,67.0,2019
Albania,Australia,3872.0,2019
Albania,Austria,3715.0,2019
Albania,Belgium,11042.0,2019
Albania,Bolivia (Plurinational State of),1.0,2019
Albania,Bulgaria,1348.0,2019
Albania,Canada,16363.0,2019
Albania,Chile,100.0,2019
Albania,Colombia,52.0,2019
Albania,Costa Rica,4.0,2019
Albania,Croatia,159.0,2019
Albania,Cuba,33.0,2019
Albania,Cyprus,289.0,2019
Albania,Czechia,384.0,2019
Albania,Denmark,520.0,2019
Albania,Ecuador,69.0,2019
Albania,Egypt,118.0,2019
Albania,Estonia,36.0,2019
Albania,Finland,659.0,2019
Albania,France,7371.0,2019
Albania,Georgia,10.0,2019
Albania,Germany,50894.0,2019
Albania,Greece,426449.0,2019
Albania,Guinea,10.0,2019
Albania,Hungary,307.0,2019
Albania,Iceland,112.0,2019
Albania,Ireland,326.0,2019
Albania,Italy,475196.0,2019
Albania,Latvia,10.0,2019
Albania,Libya,319.0,2019
Albania,Luxembourg,1070.0,2019
Albania,Mali,1429.0,2019
Albania,Malta,171.0,2019
Albania,Montenegro,2763.0,2019
Albania,Netherlands,1913.0,2019
Albania,North Macedonia,68029.0,2019
Albania,Norway,1611.0,2019
Albania,Philippines,119.0,2019
Albania,Poland,133.0,2019
Albania,Portugal,50.0,2019
Albania,Romania,626.0,2019
Albania,Russian Federation,233.0,2019
Albania,San Marino,39.0,2019
Albania,Serbia,474.0,2019
Albania,Slovakia,116.0,2019
Albania,Slovenia,127.0,2019
Albania,South Africa,280.0,2019
Albania,Spain,2008.0,2019
Albania,Sweden,7136.0,2019
Albania,Switzerland,3968.0,2019
Albania,Turkey,4495.0,2019
Albania,United Kingdom,11244.0,2019
Albania,United States of America,99205.0,2019
Albania,Venezuela (Bolivarian Republic of),18.0,2019
Algeria,Argentina,105.0,2019
Algeria,Australia,1745.0,2019
Algeria,Austria,1522.0,2019
Algeria,Belarus,52.0,2019
Algeria,Belgium,27633.0,2019
Algeria,Bolivia (Plurinational State of),3.0,2019
Algeria,Brazil,246.0,2019
Algeria,Bulgaria,482.0,2019
Algeria,Canada,68822.0,2019
Algeria,Chile,177.0,2019
Algeria,Colombia,26.0,2019
Algeria,Costa Rica,12.0,2019
Algeria,Croatia,51.0,2019
Algeria,Cuba,13.0,2019
Algeria,Cyprus,36.0,2019
Algeria,Czechia,741.0,2019
Algeria,Denmark,1046.0,2019
Algeria,Ecuador,47.0,2019
Algeria,Egypt,877.0,2019
Algeria,Estonia,29.0,2019
Algeria,Finland,1212.0,2019
Algeria,France,1575528.0,2019
Algeria,French Guiana,91.0,2019
Algeria,French Polynesia,706.0,2019
Algeria,Gabon,108.0,2019
Algeria,Georgia,17.0,2019
Algeria,Germany,21519.0,2019
Algeria,Ghana,14.0,2019
Algeria,Greece,390.0,2019
Algeria,Guadeloupe,158.0,2019
