destination,origin,num,year
Afghanistan,Pakistan,26343.0,2000
Afghanistan,Tajikistan,32929.0,2000
Afghanistan,Uzbekistan,1646.0,2000
Albania,Canada,1337.0,2000
Albania,Greece,46575.0,2000
Albania,Italy,13113.0,2000
Albania,The former Yugoslav Republic of Macedonia,787.0,2000
Albania,Turkey,2892.0,2000
Albania,United States of America,3498.0,2000
Algeria,France,556.0,2000
Algeria,Germany,778.0,2000
Algeria,Indonesia,1446.0,2000
Algeria,Iraq,7579.0,2000
Algeria,Italy,740.0,2000
Algeria,Jordan,2258.0,2000
Algeria,Kuwait,1196.0,2000
Algeria,Lebanon,1225.0,2000
Algeria,Libya,2325.0,2000
Algeria,Malaysia,877.0,2000
Algeria,Russian Federation,802.0,2000
Algeria,Saudi Arabia,3926.0,2000
Algeria,Somalia,11570.0,2000
Algeria,State of Palestine,31667.0,2000
Algeria,Sudan,1597.0,2000
Algeria,Syrian Arab Republic,3073.0,2000
Algeria,United Kingdom of Great Britain and Northern Ireland,800.0,2000
Algeria,United States of America,1094.0,2000
Algeria,Western Sahara,165911.0,2000
Algeria,Yemen,2366.0,2000
American Samoa,China,299.0,2000
American Samoa,Fiji,152.0,2000
American Samoa,New Zealand,229.0,2000
American Samoa,Philippines,661.0,2000
American Samoa,Republic of Korea,182.0,2000
American Samoa,Samoa,17642.0,2000
American Samoa,Tokelau,27.0,2000
American Samoa,Tonga,1142.0,2000
American Samoa,United States of America,3578.0,2000
American Samoa,Viet Nam,203.0,2000
Andorra,Argentina,151.0,2000
Andorra,Australia,41.0,2000
Andorra,Belgium,241.0,2000
Andorra,Chile,58.0,2000
Andorra,Denmark,138.0,2000
Andorra,France,4298.0,2000
Andorra,Germany,355.0,2000
Andorra,Italy,151.0,2000
Andorra,Morocco,471.0,2000
Andorra,Netherlands,229.0,2000
Andorra,Philippines,297.0,2000
Andorra,Portugal,6771.0,2000
Andorra,Spain,26841.0,2000
Andorra,Sweden,49.0,2000
Andorra,Switzerland,74.0,2000
Andorra,United Kingdom of Great Britain and Northern Ireland,907.0,2000
Andorra,United States of America,89.0,2000
Andorra,Uruguay,77.0,2000
